"EDV,lv","EDP,lv","ESV,lv","pMax,lv","dp/dtMax,lv","dp/dtMin,lv","EDV,rv","EDP,rv","ESV,rv","pMax,rv","dp/dtMax,rv","dp/dtMin,rv","EDV,la","ESV,la","VMax,la","pMax,La","EDV,ra","ESV,ra","VMax,ra","pMax,ra"
150.88,5.63,108.28,113.8,1497.0,-669.0,118.31,3.07,79.45,25.48,352.0,-136.0,178.73,144.84,182.7,5.31,151.7,123.09,157.86,3.32
169.76,8.36,126.56,129.96,1484.0,-716.0,127.63,2.68,82.42,20.46,238.0,-93.0,197.47,143.75,199.2,8.67,139.74,112.83,148.03,3.13
138.45,5.18,88.14,89.88,1376.0,-561.0,124.55,4.1,80.14,23.73,301.0,-127.0,165.65,138.8,179.49,4.49,157.97,124.02,166.95,4.49
141.84,3.92,86.5,87.86,1220.0,-664.0,155.97,4.01,106.32,37.56,615.0,-232.0,144.18,118.87,160.56,3.27,155.54,110.66,161.17,4.92
126.67,4.83,67.89,81.8,1209.0,-480.0,125.56,4.34,71.44,27.56,306.0,-124.0,169.9,145.63,185.12,4.56,164.68,127.72,168.78,5.35
141.4,8.37,89.43,115.14,1557.0,-722.0,134.5,3.69,85.95,27.13,377.0,-134.0,173.42,140.0,184.34,6.63,149.66,119.75,155.94,3.38
145.83,6.71,85.48,95.12,1518.0,-617.0,132.8,4.49,75.91,23.64,232.0,-120.0,174.55,142.17,192.29,5.44,159.32,121.53,166.77,4.35
133.14,3.93,83.58,68.58,777.0,-532.0,142.65,3.75,98.42,25.94,324.0,-155.0,158.54,135.97,170.83,3.73,158.17,123.79,162.6,4.25
141.13,5.16,99.49,117.92,1845.0,-653.0,119.27,3.55,81.15,32.9,552.0,-157.0,166.58,136.73,176.06,4.81,155.69,115.91,159.45,4.72
179.18,7.79,133.36,110.81,1263.0,-682.0,104.03,3.49,61.69,24.68,324.0,-150.0,195.65,144.87,195.7,7.4,152.9,114.73,156.22,4.0
160.17,7.57,118.08,122.86,1862.0,-667.0,109.36,3.52,69.7,27.28,446.0,-142.0,188.63,141.17,188.49,6.85,148.06,113.6,154.05,4.08
167.74,6.35,134.46,103.71,1375.0,-615.0,130.74,2.63,99.9,23.35,368.0,-141.0,180.62,140.79,181.83,6.28,145.54,114.33,150.52,3.41
141.4,3.56,95.8,106.28,1493.0,-685.0,135.17,3.1,92.45,32.23,542.0,-184.0,166.85,137.97,177.73,3.42,154.03,119.01,164.66,4.13
150.48,6.83,114.45,110.63,1716.0,-728.0,121.52,3.02,89.93,25.21,469.0,-155.0,173.37,148.65,179.05,5.33,148.01,123.48,149.93,2.59
136.47,9.38,76.69,82.46,1242.0,-546.0,124.96,7.61,70.53,29.33,293.0,-149.0,174.09,139.79,185.67,5.15,173.89,120.04,175.83,5.58
142.39,8.41,81.02,116.78,1610.0,-716.0,135.59,4.33,77.54,25.0,252.0,-104.0,174.54,135.35,190.92,6.31,154.85,112.8,160.35,4.51
153.58,4.97,106.08,79.44,1129.0,-506.0,118.76,3.96,72.23,25.43,301.0,-133.0,182.91,144.81,185.46,5.0,154.2,126.03,167.21,4.8
139.59,7.25,100.59,125.03,1662.0,-680.0,125.99,4.03,88.63,31.34,598.0,-170.0,182.57,142.47,183.05,4.93,150.13,116.4,158.33,3.75
145.03,6.67,78.0,84.01,1221.0,-562.0,142.88,4.82,78.65,21.79,186.0,-100.0,165.52,132.31,187.87,5.57,165.76,119.83,170.81,5.32
143.94,6.78,94.93,89.8,1568.0,-555.0,125.67,4.16,82.24,21.15,213.0,-88.0,177.27,146.69,188.5,5.78,160.15,121.65,162.45,4.27
124.46,4.08,70.95,99.82,1800.0,-657.0,142.91,4.42,91.28,35.22,653.0,-212.0,161.74,134.81,177.69,3.65,170.07,118.19,173.17,5.28
139.57,6.72,98.14,95.32,1388.0,-606.0,123.81,4.78,88.11,25.77,386.0,-137.0,169.28,130.3,170.95,5.08,159.06,113.45,164.53,5.58
124.56,3.56,85.05,89.56,1368.0,-625.0,127.36,3.46,91.5,27.66,429.0,-172.0,163.46,145.43,173.37,3.41,159.78,129.62,163.58,4.01
135.16,5.65,83.87,103.32,1542.0,-614.0,141.88,4.35,94.23,24.3,318.0,-118.0,171.46,139.21,186.03,5.91,164.49,115.03,170.05,6.03
133.69,4.08,79.93,91.6,1154.0,-537.0,133.09,4.11,84.95,26.06,328.0,-130.0,156.88,132.84,173.22,3.92,157.71,121.05,164.22,4.99
169.57,4.88,135.17,101.74,1201.0,-576.0,105.26,2.75,73.11,27.91,450.0,-155.0,173.86,138.69,174.04,4.72,143.98,121.27,151.23,3.0
133.43,5.21,71.4,84.69,1212.0,-515.0,134.41,4.65,77.43,28.43,252.0,-132.0,166.54,136.4,182.18,4.55,164.48,122.61,169.46,5.04
129.07,4.13,73.97,83.8,1367.0,-622.0,148.69,4.82,94.89,31.44,435.0,-202.0,150.87,126.49,170.13,3.48,164.47,119.88,173.28,5.67
130.8,5.0,83.48,77.37,1156.0,-460.0,145.12,5.0,102.98,22.91,313.0,-113.0,157.86,137.85,169.12,3.6,153.19,126.14,162.06,4.43
169.67,9.63,124.41,132.88,1768.0,-671.0,103.97,3.54,61.77,25.72,384.0,-130.0,196.94,148.12,197.62,7.59,152.41,116.76,154.84,3.49
147.72,4.98,102.8,72.29,1005.0,-448.0,122.82,6.05,83.96,31.61,494.0,-175.0,153.9,138.47,167.54,3.01,160.2,123.58,166.69,4.71
